Frame rate:,30 fps
Frame number,MAR
81,0.6583523084486451
82,0.7245135515021429
83,0.680577837974176
84,0.6467727816182905
85,0.6979559728805317
86,0.652120113684129
87,0.6510490201998892
88,0.6031166733291288
89,0.6228253332280248
90,0.612856620765201
108,0.608846731197469
109,0.8106019712300402
110,0.798779256787764
111,0.6668025544871777
112,0.6201736729460422
114,0.6409455005900453
115,0.7189740802346991
116,0.777431705497857
117,0.7507734490501139
118,0.7226245454267272
119,0.735321498175357
120,0.667287311025838
121,0.6841052550594828
122,0.6638888768072867
123,0.6201736729460423
124,0.6597682302498801
146,0.6195870516251768
147,0.6843979980208308
148,0.6859466063503805
149,0.7479281153886673
150,0.7897015158622236
151,0.8032554669340255
152,0.8041529115854701
153,0.8130351803229732
154,0.7850910459245203
155,0.7850126485571288
156,0.7480003130499429
157,0.7056855730696496
158,0.6942763271102875
159,0.783121634608965
